1000 25210
1 15 1
1 26 1
1 39 1
1 42 1
1 43 1
1 69 1
1 79 1
1 91 1
1 92 1
1 145 1
1 162 1
1 191 1
1 203 1
1 241 1
1 261 1
1 272 1
1 277 1
1 286 1
1 290 1
1 295 1
1 297 1
1 299 1
1 305 1
1 341 1
1 410 1
1 493 1
1 526 1
1 570 1
1 573 1
1 605 1
1 606 1
1 651 1
1 683 1
1 718 1
1 740 1
1 757 1
1 777 1
1 822 1
1 828 1
1 832 1
1 840 1
1 858 1
1 862 1
1 885 1
1 914 1
1 918 1
1 950 1
1 975 1
1 976 1
1 977 1
1 993 1
2 3 1
2 70 1
2 109 1
2 137 1
2 153 1
2 154 1
2 171 1
2 179 1
2 185 1
2 213 1
2 301 1
2 303 1
2 315 1
2 316 1
2 323 1
2 347 1
2 405 1
2 457 1
2 469 1
2 484 1
2 491 1
2 499 1
2 562 1
2 601 1
2 612 1
2 628 1
2 634 1
2 640 1
2 644 1
2 652 1
2 673 1
2 689 1
2 730 1
2 740 1
2 743 1
2 765 1
2 768 1
2 770 1
2 771 1
2 816 1
2 828 1
2 829 1
2 852 1
2 865 1
2 866 1
2 887 1
2 892 1
2 929 1
2 932 1
2 948 1
2 987 1
3 48 1
3 79 1
3 85 1
3 91 1
3 101 1
3 112 1
3 144 1
3 161 1
3 165 1
3 172 1
3 203 1
3 219 1
3 239 1
3 245 1
3 247 1
3 256 1
3 261 1
3 302 1
3 321 1
3 370 1
3 374 1
3 378 1
3 394 1
3 427 1
3 429 1
3 434 1
3 445 1
3 454 1
3 460 1
3 461 1
3 482 1
3 488 1
3 525 1
3 605 1
3 631 1
3 691 1
3 723 1
3 726 1
3 752 1
3 768 1
3 788 1
3 806 1
3 812 1
3 817 1
3 830 1
3 854 1
3 859 1
3 878 1
3 882 1
3 930 1
3 963 1
3 968 1
3 978 1
3 985 1
4 28 1
4 44 1
4 47 1
4 55 1
4 69 1
4 114 1
4 149 1
4 153 1
4 205 1
4 213 1
4 215 1
4 300 1
4 309 1
4 314 1
4 318 1
4 340 1
4 343 1
4 368 1
4 380 1
4 385 1
4 412 1
4 465 1
4 494 1
4 520 1
4 552 1
4 560 1
4 576 1
4 581 1
4 612 1
4 623 1
4 626 1
4 631 1
4 653 1
4 684 1
4 708 1
4 713 1
4 725 1
4 732 1
4 737 1
4 750 1
4 775 1
4 790 1
4 817 1
4 834 1
4 840 1
4 841 1
4 849 1
4 855 1
4 874 1
4 877 1
4 890 1
4 913 1
4 933 1
4 991 1
5 13 1
5 45 1
5 62 1
5 88 1
5 110 1
5 115 1
5 123 1
5 128 1
5 133 1
5 167 1
5 174 1
5 196 1
5 198 1
5 261 1
5 268 1
5 282 1
5 295 1
5 335 1
5 353 1
5 394 1
